MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, September 12, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, September 19, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, September 26, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, October 03, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, October 10, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, October 17, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, October 24, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, October 31, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, November 07, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, November 14, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, November 21, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, November 28, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, December 05, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, December 12, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, December 19, 2016",TRUE,1:15:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, December 26, 2016",TRUE,1:15:00
Alternative Break: International Trip,"February 1, 2017",9:00 AM,,"Wednesday, February 1, 2017",TRUE,
"Bridges Service Trip: National Trip""","Thursday, September 1, 2016",9:00 AM,,"Thursday, September 1, 2016",TRUE,
Queering Faith,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
First Year Queers and Allies,"Tuesday, August 30, 2017",12:30 PM,Kimmel 602,"Tuesday, August 30, 2017",TRUE,1:00:00
